param n := 80;
param i_d := 46;
param i_a := 32;
param A_min := 35;
param m := 9;
param Z := 1 0
2 6
3 0
4 3
5 1
6 9
7 2
8 5
9 1
10 5
11 3
12 4
13 2
14 4
15 2
16 7
17 2
18 0
19 9
20 8
21 5
22 9
23 2
24 4
25 5
26 0
27 8
28 3
29 4
30 3
31 8
32 7
33 0
34 3
35 2
36 3
37 2
38 4
39 6
40 9
41 9
42 5
43 1
44 0
45 3
46 1
47 0
48 5
49 5
50 7
51 9
52 4
53 7
54 0
55 7
56 7
57 0
58 6
59 6
60 3
61 9
62 5
63 6
64 9
65 3
66 9
67 7
68 7
69 6
70 4
71 9
72 8
73 0
74 0
75 3
76 0
77 9
78 2
79 5
80 4;
param R := 31;
param X:= 1 150
2 108
3 136
4 149
5 148
6 64
7 32
8 136
9 80
10 144
11 75
12 87
13 38
14 50
15 99
16 124
17 122
18 2
19 92
20 112
21 42
22 102
23 20
24 62
25 135
26 20
27 146
28 29
29 37
30 37
31 7
32 97
33 95
34 160
35 83
36 106
37 93
38 42
39 154
40 37
41 33
42 72
43 52
44 52
45 115
46 152
47 48
48 22
49 143
50 1
51 90
52 80
53 41
54 129
55 55
56 65
57 21
58 70
59 0
60 85
61 46
62 42
63 109
64 68
65 79
66 44
67 1
68 7
69 104
70 44
71 97
72 89
73 13
74 122
75 121
76 12
77 7
78 135
79 96
80 35;
param Y:= 1 131
2 18
3 125
4 29
5 134
6 80
7 78
8 125
9 152
10 131
11 120
12 68
13 43
14 31
15 18
16 82
17 115
18 90
19 10
20 154
21 68
22 156
23 33
24 84
25 23
26 147
27 109
28 112
29 44
30 157
31 38
32 140
33 0
34 136
35 48
36 140
37 153
38 121
39 19
40 88
41 151
42 121
43 87
44 87
45 10
46 116
47 49
48 91
49 3
50 113
51 99
52 93
53 24
54 50
55 52
56 103
57 133
58 155
59 138
60 139
61 69
62 149
63 29
64 159
65 53
66 119
67 140
68 50
69 50
70 136
71 21
72 64
73 13
74 81
75 0
76 45
77 46
78 54
79 159
80 42;

let {i in 1..n, j in 1..n} D[i,j]:=round(sqrt((X[i]-X[j])**2+(Y[i]-Y[j])**2));
