param n := 40;
param i_d := 27;
param i_a := 8;
param A_min := 14;
param m := 2;
param Z := 1 0
2 0
3 2
4 1
5 2
6 1
7 1
8 2
9 0
10 0
11 1
12 1
13 0
14 2
15 0
16 1
17 1
18 1
19 0
20 2
21 1
22 2
23 0
24 0
25 1
26 0
27 2
28 0
29 0
30 0
31 0
32 0
33 2
34 1
35 0
36 2
37 0
38 2
39 0
40 0;
param R := 26;
param X:= 1 32
2 78
3 53
4 47
5 20
6 22
7 22
8 56
9 52
10 36
11 49
12 24
13 19
14 73
15 42
16 61
17 68
18 57
19 36
20 1
21 21
22 73
23 42
24 64
25 53
26 61
27 11
28 65
29 29
30 49
31 24
32 48
33 16
34 2
35 62
36 2
37 4
38 74
39 40
40 42;
param Y:= 1 55
2 76
3 53
4 49
5 19
6 6
7 70
8 59
9 46
10 68
11 65
12 11
13 26
14 2
15 36
16 31
17 74
18 35
19 19
20 56
21 24
22 48
23 67
24 59
25 20
26 1
27 70
28 46
29 13
30 13
31 1
32 55
33 40
34 50
35 64
36 32
37 33
38 27
39 57
40 25;

let {i in 1..n, j in 1..n} D[i,j]:=round(sqrt((X[i]-X[j])**2+(Y[i]-Y[j])**2));
