param n := 50;
param i_d := 49;
param i_a := 34;
param A_min := 16;
param m := 4;
param Z := 1 4
2 2
3 4
4 1
5 1
6 3
7 2
8 3
9 3
10 4
11 2
12 0
13 2
14 2
15 3
16 4
17 2
18 2
19 4
20 0
21 3
22 3
23 1
24 0
25 4
26 0
27 1
28 3
29 3
30 1
31 0
32 4
33 0
34 0
35 0
36 4
37 3
38 4
39 2
40 4
41 1
42 3
43 2
44 2
45 3
46 3
47 4
48 0
49 4
50 0;
param R := 28;
param X:= 1 58
2 16
3 83
4 11
5 91
6 48
7 3
8 17
9 73
10 40
11 22
12 3
13 60
14 55
15 77
16 100
17 79
18 28
19 94
20 55
21 43
22 0
23 2
24 47
25 2
26 81
27 75
28 15
29 55
30 46
31 49
32 21
33 82
34 11
35 21
36 82
37 51
38 100
39 76
40 45
41 70
42 37
43 4
44 74
45 91
46 9
47 9
48 83
49 72
50 16;
param Y:= 1 70
2 44
3 43
4 10
5 23
6 15
7 46
8 0
9 50
10 12
11 71
12 87
13 70
14 81
15 71
16 19
17 22
18 40
19 12
20 52
21 75
22 79
23 38
24 94
25 70
26 69
27 48
28 77
29 70
30 24
31 67
32 68
33 70
34 16
35 18
36 2
37 3
38 26
39 89
40 64
41 91
42 93
43 74
44 93
45 4
46 86
47 37
48 36
49 11
50 57;

let {i in 1..n, j in 1..n} D[i,j]:=round(sqrt((X[i]-X[j])**2+(Y[i]-Y[j])**2));
