param n := 70;
param i_d := 47;
param i_a := 23;
param A_min := 22;
param m := 16;
param Z := 1 2
2 12
3 9
4 6
5 13
6 15
7 0
8 16
9 11
10 9
11 12
12 1
13 16
14 16
15 5
16 11
17 15
18 13
19 11
20 2
21 8
22 11
23 5
24 0
25 1
26 9
27 15
28 4
29 9
30 10
31 2
32 7
33 13
34 1
35 7
36 1
37 6
38 10
39 10
40 5
41 3
42 9
43 10
44 0
45 3
46 5
47 16
48 0
49 9
50 8
51 0
52 11
53 12
54 10
55 9
56 15
57 6
58 3
59 10
60 11
61 1
62 11
63 14
64 9
65 5
66 5
67 10
68 15
69 2
70 8;
param R := 35;
param X:= 1 121
2 122
3 61
4 115
5 87
6 83
7 20
8 127
9 108
10 13
11 118
12 138
13 103
14 38
15 94
16 63
17 48
18 49
19 49
20 1
21 78
22 37
23 49
24 48
25 113
26 124
27 78
28 52
29 13
30 83
31 24
32 85
33 2
34 22
35 82
36 95
37 30
38 14
39 47
40 129
41 72
42 93
43 11
44 119
45 134
46 52
47 61
48 115
49 139
50 15
51 115
52 99
53 27
54 98
55 52
56 87
57 77
58 97
59 132
60 73
61 4
62 6
63 102
64 68
65 13
66 91
67 81
68 132
69 16
70 101;
param Y:= 1 23
2 52
3 127
4 138
5 51
6 47
7 33
8 125
9 123
10 67
11 48
12 29
13 90
14 64
15 11
16 94
17 115
18 102
19 69
20 82
21 60
22 58
23 20
24 59
25 43
26 91
27 44
28 32
29 3
30 98
31 120
32 49
33 8
34 56
35 29
36 13
37 91
38 3
39 17
40 100
41 124
42 69
43 71
44 94
45 35
46 130
47 20
48 34
49 60
50 9
51 57
52 84
53 21
54 106
55 108
56 139
57 42
58 37
59 35
60 50
61 25
62 124
63 10
64 109
65 20
66 108
67 45
68 2
69 135
70 67;

let {i in 1..n, j in 1..n} D[i,j]:=round(sqrt((X[i]-X[j])**2+(Y[i]-Y[j])**2));
