param n := 30;
param i_d := 19;
param i_a := 10;
param A_min := 14;
param m := 3;
param Z := 1 3
2 1
3 0
4 1
5 0
6 3
7 3
8 2
9 1
10 2
11 0
12 1
13 1
14 1
15 1
16 1
17 0
18 1
19 0
20 0
21 0
22 3
23 1
24 3
25 0
26 3
27 2
28 1
29 1
30 3;
param R := 18;
param X:= 1 10
2 57
3 56
4 53
5 13
6 56
7 50
8 2
9 51
10 8
11 0
12 32
13 41
14 27
15 8
16 49
17 46
18 41
19 2
20 31
21 15
22 15
23 9
24 34
25 3
26 56
27 59
28 49
29 25
30 42;
param Y:= 1 53
2 8
3 47
4 41
5 41
6 58
7 55
8 22
9 28
10 21
11 32
12 55
13 24
14 30
15 52
16 3
17 50
18 36
19 16
20 34
21 52
22 23
23 52
24 15
25 32
26 0
27 26
28 41
29 58
30 4;

let {i in 1..n, j in 1..n} D[i,j]:=round(sqrt((X[i]-X[j])**2+(Y[i]-Y[j])**2));
